display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,NEA,Nicolas Correa SA,entry_ready,True,,setup+breakout,ENTRY_READY,8.3,,6.3600829995657,10.55,26360.0,10.5,0.361101940955535,10.4475,9.9058,0.5417,11.5308,12.0725,,
2,ROS,Rosenbauer International AG,entry_ready,True,,setup+breakout,ENTRY_READY,8.01,,5.70958239473228,50.6,16475.0,49.9,1.47278662939213,49.6505,47.4413,2.2092,54.0689,56.278,,
3,PLEJD,Plejd AB,entry_ready,True,,setup+breakout,ENTRY_READY,7.9,,8.29905657371969,975.0,194745.0,880.0,38.2680084031625,875.6,818.198,57.402,990.404,1047.806,,
4,0AAL,Allfunds Group PLC,entry_ready,True,,setup+breakout,ENTRY_READY,7.59,,5.89342842559295,14.944,2521097.0,14.944,6.27331687453752,14.8693,5.4593,9.41,33.6892,43.0992,,
5,GMM,Grammer AG,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,6.77451405701171,8.4,24205.0,7.75,0.298024409940239,7.7112,7.2642,0.447,8.6053,9.0524,,
6,WHA,Wereldhave NV,entry_ready,True,,setup+breakout,ENTRY_READY,5.39,,3.08556560450903,22.45,297893.0,22.45,0.501196693211073,22.3377,21.586,0.7518,23.8413,24.5931,,
7,ACRI-B,Acrinova AB Series B,entry_ready,True,,setup+breakout,ENTRY_READY,5.1,,3.79838956864629,13.65,283381.0,12.85,0.543085495572854,12.7858,11.9711,0.8146,14.415,15.2296,,
8,ACOMO,Amsterdam Commodities NV,entry_ready,True,,setup+breakout,ENTRY_READY,5.09,,2.79131732481008,27.6,95017.0,27.35,0.563105716101234,27.2133,26.3686,0.8447,28.9026,29.7472,,
9,0LCV,Taiwan Semiconductor Manufacturing Co. Ltd. ADR,entry_ready,True,,setup+breakout,ENTRY_READY,4.68,,2.3802632541728,376.0,58554.0,374.4,16.4300984820351,372.528,347.8829,24.6451,421.8183,446.4634,,
10,ARVEN,ARVERNE GROUP,entry_ready,True,,setup+breakout,ENTRY_READY,4.65,,2.34640502646321,5.42,7581.0,5.32,0.122463610157828,5.2934,5.1097,0.1837,5.6608,5.8445,,
11,COVH,Covivio Hotels,entry_ready,True,,setup+breakout,ENTRY_READY,4.61,,2.91475455430399,24.2,2096.0,24.0,0.379681864435275,23.88,23.3105,0.5695,25.019,25.5886,,
12,TKA,Telekom Austria AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.43,,2.12534324672608,9.55,78753.0,9.51,0.256758411543575,9.4625,9.0773,0.3851,10.2327,10.6179,,
13,APETIT,Apetit Oyj,entry_ready,True,,setup+breakout,ENTRY_READY,4.33,,2.63114734893747,14.5,5615.0,14.4,0.214578570572113,14.328,14.0061,0.3219,14.9717,15.2936,,
14,RAW,Raiffeisen Bank International AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.29,,2.9934511306067,44.12,48452.0,41.0,1.76566387526025,40.795,38.1465,2.6485,46.092,48.7405,,
15,CTEK,Ctek AB,entry_ready,True,,setup+breakout,ENTRY_READY,4.01,,2.70584314086061,15.38,171911.0,14.86,0.524199857742156,14.7857,13.9994,0.7863,16.3583,17.1446,,
16,ELG,Elmos Semiconductor SE,entry_ready,True,,setup+breakout,ENTRY_READY,3.74,,3.0372526135678,174.0,122835.0,166.4,8.53543704382155,165.568,152.7648,12.8032,191.1743,203.9775,,
17,RBI,Raiffeisen Bank International AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.65,,2.35343441578026,44.24,1118188.0,41.04,1.91923803654608,40.8348,37.9559,2.8789,46.5925,49.4714,,
18,ADKO,Addiko Bank AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.64,,2.34208104414759,27.5,4199.0,26.9,1.1665756194459,26.7655,25.0156,1.7499,30.2652,32.0151,,
19,ALSOG,Sogeclair SA,entry_ready,True,,setup+breakout,ENTRY_READY,3.51,,2.20829443925857,42.0,4140.0,40.4,1.85618551099833,40.198,37.4137,2.7843,45.7666,48.5508,,
20,GURN,Gurit Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.19,,2.48691805150323,43.5,62734.0,41.2,2.54094521748676,40.994,37.1826,3.8114,48.6168,52.4283,,
