display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,RVMD,Revolution Medicines Inc,entry_ready,True,,setup+breakout,ENTRY_READY,9.18,,5.88188882194232,136.3,14135122.0,101.0,6.08656206552363,101.0,91.8702,9.1298,119.2597,128.3895,,
2,SYRE,Spyre Therapeutics Inc.,entry_ready,True,,setup+breakout,ENTRY_READY,6.98,,5.07839244763353,63.27,5324307.0,54.33,4.15510174531882,54.33,48.0973,6.2327,66.7953,73.028,,
3,OPTX,Syntec Optics Holdings Inc.,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,6.09744879589942,11.66,5664115.0,9.97,1.21412610263587,9.97,8.1488,1.8212,13.6124,15.4336,,
4,FORM,FormFactor Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.41,,2.70946163249427,128.22,4186235.0,126.3,7.16820943088083,126.3,115.5477,10.7523,147.8046,158.5569,,
5,AXAHY,Axa SA ADR,entry_ready,True,,setup+breakout,ENTRY_READY,5.39,,3.08926585122593,48.915,306335.0,48.9,0.939951424408241,48.9,47.4901,1.4099,51.7199,53.1298,,
6,KMTUY,Komatsu Ltd,candidate,False,1.0,setup,CANDIDATE,6.95,4.64779540308104,4.64779540308104,44.63,633818.0,44.85,1.61251474935044,,,,,,,
7,ASND,Ascendis Pharma AS,candidate,False,3.0,setup,CANDIDATE,6.34,2.04274589599621,2.04274589599621,248.55,1034780.0,246.67,8.98758473926618,,,,,,,
8,BAP,Credicorp Ltd,candidate,False,4.0,setup,CANDIDATE,6.31,2.00842307748357,2.00842307748357,361.34,599517.0,358.65,12.1528994445927,,,,,,,
9,SQM,Sociedad Quimica y Minera de Chile SA ADR B,candidate,False,5.0,setup,CANDIDATE,5.57,1.86906501917082,1.86906501917082,87.63,2534780.0,86.05,3.99713483106862,,,,,,,
10,NOK,Nokia Corp ADR,candidate,False,6.0,setup,CANDIDATE,5.49,2.189081591497,2.189081591497,10.37,153076650.0,9.87,0.445821304116715,,,,,,,
11,BNPQY,BNP Paribas SA ADR,candidate,False,7.0,setup,CANDIDATE,4.66,1.75989407201616,1.75989407201616,53.46,610600.0,53.5699,1.66402592015729,,,,,,,
12,IFNNY,Infineon Technologies AG ADR,candidate,False,8.0,setup,CANDIDATE,4.3,1.99858429790555,1.99858429790555,51.19,435800.0,51.12,2.02393369329096,,,,,,,
13,WLFC,Willis Lease Finance Corporation,candidate,False,9.0,setup,CANDIDATE,4.17,1.87204125621966,1.87204125621966,207.42,120809.0,203.69,7.8285030930919,,,,,,,
14,NEXA,Nexa Resources SA,candidate,False,10.0,setup,CANDIDATE,3.47,1.76751835512358,1.76751835512358,12.09,879119.0,12.11,0.68510076504556,,,,,,,
15,GRC,Gorman-Rupp Company,candidate,False,11.0,setup,CANDIDATE,3.39,2.09339080652047,2.09339080652047,72.16,312856.0,69.88,2.5091358480669,,,,,,,
