display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,GSAT,"Globalstar, Inc. Common Stock",entry_ready,True,,setup+breakout,ENTRY_READY,8.7,,6.68149808659682,79.91,12337739.0,78.2999,5.02370659384966,78.2999,70.7643,7.5356,93.371,100.9066,,
2,TVTX,Travere Therapeutics Inc,entry_ready,True,,setup+breakout,ENTRY_READY,7.9,,6.74124433709243,42.13,14311837.0,33.7799,2.61620538096947,33.7799,29.8556,3.9243,41.6285,45.5528,,
3,AVNS,Avanos Medical Inc,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,15.1060048513763,24.63,23403617.0,14.61,1.14261811989161,14.61,12.8961,1.7139,18.0379,19.7518,,
4,BKH,Black Hills Corporation,entry_ready,True,,setup+breakout,ENTRY_READY,6.1,,2.80192559688239,76.6,3062945.0,74.59,1.96200514809469,74.59,71.647,2.943,80.476,83.419,,
5,CPRX,Catalyst Pharmaceuticals Inc,candidate,False,2.0,setup,CANDIDATE,5.24,1.73898436015489,1.73898436015489,26.19,2071947.0,25.82,0.769965718176315,,,,,,,
6,LION,Lionsgate Studios Holding Corp. (to be renamed Lionsgate Stu dios Corp.),candidate,False,3.0,setup,CANDIDATE,4.79,1.89135302948944,1.89135302948944,11.09,3389662.0,11.165,0.427568251931888,,,,,,,
7,LGND,Ligand Pharmaceuticals Incorporated,candidate,False,4.0,setup,CANDIDATE,4.76,2.25814852671437,2.25814852671437,232.34,564466.0,220.085,9.94897643881288,,,,,,,
8,DAC,Danaos Corporation,candidate,False,5.0,setup,CANDIDATE,4.67,2.37018393058276,2.37018393058276,118.41,162348.0,117.97,2.88004441335435,,,,,,,
9,ECG,Everus Construction Group Inc,candidate,False,6.0,setup,CANDIDATE,4.6,1.70196698327322,1.70196698327322,135.77,771451.0,135.72,6.58807172537244,,,,,,,
10,CLS,Celestica Inc.,candidate,False,7.0,setup,CANDIDATE,4.48,1.78433913253933,1.78433913253933,384.35,3496081.0,368.67,20.1977026773263,,,,,,,
11,WT,WisdomTree Inc.,candidate,False,8.0,setup,CANDIDATE,4.41,1.90902421447734,1.90902421447734,17.27,6477077.0,16.38,0.748278748624427,,,,,,,
12,WASH,Washington Trust Bancorp Inc,candidate,False,9.0,setup,CANDIDATE,4.28,1.98180117340028,1.98180117340028,36.43,399130.0,35.94,0.93023262298299,,,,,,,
13,SKYT,Skywater Technology Inc,candidate,False,10.0,setup,CANDIDATE,4.14,2.24343132171491,2.24343132171491,31.39,2503432.0,29.8,1.308212926799,,,,,,,
14,REZI,Resideo Technologies Inc,candidate,False,11.0,setup,CANDIDATE,3.82,1.91924816403496,1.91924816403496,39.28,1692023.0,38.2825,1.56264808935623,,,,,,,
