display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,ALPOU,Poulaillon SA,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,11.8284139579667,8.75,35626.0,7.25,0.354825545450507,7.2138,6.6815,0.5322,8.2782,8.8105,,
2,AFK,Arendals Fossekompani ASA,entry_ready,True,,setup+breakout,ENTRY_READY,6.5,,4.19789336955677,174.0,45892.0,174.0,4.34173377964753,173.13,166.6174,6.5126,186.1552,192.6678,,
3,LOOMIS,Loomis AB ser. B,entry_ready,True,,setup+breakout,ENTRY_READY,6.49,,2.19312173486428,463.4,298834.0,457.2,11.2650845287384,454.914,438.0164,16.8976,488.7093,505.6069,,
4,ALSTW,Streamwide,entry_ready,True,,setup+breakout,ENTRY_READY,6.15,,3.85412716470737,78.8,3049.0,77.8,2.32373513968624,77.411,73.9254,3.4856,84.3822,87.8678,,
5,BMA,Byggma,entry_ready,True,,setup+breakout,ENTRY_READY,6.08,,3.78304830555623,18.6,31279.0,18.6,0.647660534098143,18.507,17.5355,0.9715,20.45,21.4215,,
6,YTCH,"Techo Hogar SOCIMI, S.A.",entry_ready,True,,setup+breakout,ENTRY_READY,6.08,,4.38253679184919,1.12,4452.0,1.12,0.0040184025466951,1.1144,1.1084,0.006,1.1265,1.1325,,
7,0INB,STMicroelectronics NV,entry_ready,True,,setup+breakout,ENTRY_READY,5.82,,2.92413731011571,34.6825,2351438.0,34.09,1.13061421176257,33.9196,32.2236,1.6959,37.3114,39.0073,,
8,SHOT,Scandic Hotels Group AB (publ),entry_ready,True,,setup+breakout,ENTRY_READY,5.63,,2.13215595628272,94.45,749559.0,93.25,2.60349347178542,92.7837,88.8785,3.9052,100.5942,104.4995,,
9,ACRI-A,Acrinova AB,entry_ready,True,,setup+breakout,ENTRY_READY,5.49,,4.18689741459978,14.3,39822.0,14.0,0.615366404088408,13.93,13.007,0.923,15.7761,16.6991,,
10,RTC,RealTech AG,entry_ready,True,,setup+breakout,ENTRY_READY,5.19,,2.89299325710935,1.15,7401.0,1.14,0.0455289381907312,1.1343,1.066,0.0683,1.2709,1.3392,,
11,ALTHX,Theranexus SA,entry_ready,True,,setup+breakout,ENTRY_READY,5.07,,4.36927627039508,3.525,411285.0,3.25,0.221328542947057,3.2338,2.9018,0.332,3.8977,4.2297,,
12,ALSMA,SMAIO SA,entry_ready,True,,setup+breakout,ENTRY_READY,5.06,,3.76258243665394,7.6,2710.0,7.4,0.176831979964384,7.363,7.0978,0.2652,7.8935,8.1587,,
13,NORBT,Norbit ASA,entry_ready,True,,setup+breakout,ENTRY_READY,4.98,,3.07582515611062,233.0,457722.0,217.8,8.57810223617637,216.711,203.8438,12.8672,242.4453,255.3125,,
14,ASCN,Ascom Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.8,,2.5030711247776,5.71,293616.0,5.69,0.245630391352784,5.6616,5.2931,0.3684,6.3984,6.7669,,
15,ALKAL,Kalray SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.51,,3.80795679249181,5.14,1083810.0,4.55,0.514588190706749,4.5272,3.7554,0.7719,6.071,6.8429,,
16,NTH,Naturhouse Health SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.5,,2.19700640269627,2.69,92956.0,2.7,0.0816573608813872,2.6865,2.564,0.1225,2.9315,3.054,,
17,XVALO,Vale S.A.,entry_ready,True,,setup+breakout,ENTRY_READY,4.49,,2.1898398956835,14.424,32580.0,14.3,0.49940296433299,14.2285,13.4794,0.7491,15.7267,16.4758,,
18,KENDR,Kendrion NV,entry_ready,True,,setup+breakout,ENTRY_READY,4.42,,2.11630858392705,18.1,98886.0,18.12,0.475435286339906,18.0294,17.3162,0.7132,19.4557,20.1689,,
19,0B2,Bawag Group AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.39,,3.08768046682429,151.8,3069.0,141.3,4.23960610435916,140.5935,134.2341,6.3594,153.3123,159.6717,,
20,CMO,Caisse Régionale de Crédit Agricole du Morbihan,entry_ready,True,,setup+breakout,ENTRY_READY,4.36,,2.05920381082001,113.0,1513.0,111.54,4.30561501396079,110.9823,104.5239,6.4584,123.8991,130.3576,,
21,KOSKI,Koskisen,entry_ready,True,,setup+breakout,ENTRY_READY,3.84,,2.53858143261695,9.9,5782.0,9.7,0.272002962542524,9.6515,9.2435,0.408,10.4675,10.8755,,
22,ALROC,Roctool,entry_ready,True,,setup+breakout,ENTRY_READY,3.82,,3.12120954627215,1.22,611584.0,1.185,0.121845179951994,1.1791,0.9963,0.1828,1.5446,1.7274,,
23,CAR,Carrefour SA,entry_ready,True,,setup+breakout,ENTRY_READY,3.75,,2.05402791211828,16.635,11892.0,16.65,0.253423257073652,16.5667,16.1866,0.3801,17.327,17.7072,,
24,COTN,Comet Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.53,,2.83335207770706,302.8,99512.0,285.0,13.7781792592074,283.575,262.9077,20.6673,324.9095,345.5768,,
25,NOHAL,Nordic Halibut AS,entry_ready,True,,setup+breakout,ENTRY_READY,3.43,,2.1294363256785,23.2,5508.0,22.2,0.631831732328511,22.089,21.1413,0.9477,23.9845,24.9322,,
26,TRVC,Citigroup Inc,entry_ready,True,,setup+breakout,ENTRY_READY,3.42,,2.12081904938386,110.22,4578.0,106.46,2.73652552265042,105.9277,101.8229,4.1048,114.1373,118.2421,,
27,PPGN,PolyPeptide Group AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.04,,2.33595019771353,37.5,211633.0,36.7,1.89023250311575,36.5165,33.6812,2.8353,42.1872,45.0225,,
