display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,HYDRA,Hydratec Industries NV,entry_ready,True,,setup+breakout,ENTRY_READY,7.7,,6.33587786259542,220.0,249.0,218.0,1.77739781713317,216.91,214.2439,2.6661,222.2422,224.9083,,
2,GLO,GL Events SA,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,10.3663127405816,35.55,342150.0,33.35,1.17336844425608,33.1833,31.4232,1.7601,36.7034,38.4634,,
3,N4G0,THE NAGA GROUP AG NA O.N.,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,6.00702057107913,4.98,126719.0,4.0,0.4490418557674,3.98,3.3064,0.6736,5.3271,6.0007,,
4,FAST,Fastned B.V.,entry_ready,True,,setup+breakout,ENTRY_READY,6.68,,5.38072015082345,24.7,86335.0,23.8,0.535875751551568,23.681,22.8772,0.8038,25.2886,26.0924,,
5,CMCOM,CM.com NV,entry_ready,True,,setup+breakout,ENTRY_READY,6.63,,4.32595984474432,6.05,168351.0,5.96,0.231207229644292,5.9302,5.5834,0.3468,6.6238,6.9706,,
6,UTDI,United Internet AG NA,entry_ready,True,,setup+breakout,ENTRY_READY,6.36,,4.06294609811355,28.4,905651.0,28.48,0.901109074878675,28.3376,26.9859,1.3517,31.0409,32.3926,,
7,OPTS,"Optare Solutions, S.A.",entry_ready,True,,setup+breakout,ENTRY_READY,6.29,,4.59422283356259,7.6,501.0,7.6,0.0171134427093177,7.562,7.5363,0.0257,7.6133,7.639,,
8,MLP,MLP SE,entry_ready,True,,setup+breakout,ENTRY_READY,5.45,,4.15034752947513,7.91,253508.0,7.63,0.208143114729237,7.5918,7.2796,0.3122,8.2163,8.5285,,
9,BRKN,Burkhalter Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,5.16,,2.8560177467414,183.6,54395.0,180.0,5.16261408725848,179.1,171.3561,7.7439,194.5878,202.3318,,
10,DFDS,DFDS A/S,entry_ready,True,,setup+breakout,ENTRY_READY,4.79,,2.88868337580732,151.1,498518.0,141.6,6.0303810526808,140.892,131.8464,9.0456,158.9831,168.0287,,
11,STGN,Starrag Group Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.73,,2.42841429230387,35.5,3422.0,34.9,0.908907870077077,34.7255,33.3621,1.3634,37.4522,38.8156,,
12,OHB,OHB SE,entry_ready,True,,setup+breakout,ENTRY_READY,4.72,,3.01534907926912,300.5,21148.0,299.0,20.270984224342,297.505,267.0985,30.4065,358.318,388.7244,,
13,FREY,Frey SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.51,,2.8124059018368,33.0,1401.0,33.0,0.0854681354612577,32.835,32.7068,0.1282,33.0914,33.2196,,
14,0QMG,Swiss Life Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.49,,2.19473139627842,9.265,45710.0,9.284,0.194376515774004,9.2376,8.946,0.2916,9.8207,10.1123,,
15,RAIKV,Raisio Oyj,entry_ready,True,,setup+breakout,ENTRY_READY,4.41,,2.11396539009609,2.82,19063.0,2.81,0.0631369150145469,2.7959,2.7012,0.0947,2.9854,3.0801,,
16,ZLNA,Zelluna ASA,entry_ready,True,,setup+breakout,ENTRY_READY,3.57,,2.86664587049316,30.5,215038.0,25.0,1.46036420606299,24.875,22.6845,2.1905,29.2561,31.4466,,
17,MLUMG,Umalis Group,entry_ready,True,,setup+breakout,ENTRY_READY,3.53,,2.2334815427567,3.7,1080.0,3.4,0.112162453742176,3.383,3.2148,0.1682,3.7195,3.8877,,
18,LPK,LPKF Laser & Electronics AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.35,,2.65161403714336,11.3,452604.0,10.85,0.665010237940287,10.7957,9.7982,0.9975,12.7908,13.7883,,
19,AKSO,Aker Solutions ASA,candidate,False,2.0,setup,CANDIDATE,5.99,1.68831574646059,1.68831574646059,47.5,2177409.0,48.14,1.39943663995164,,,,,,,
20,SSAB-B,SSAB AB (publ),candidate,False,3.0,setup,CANDIDATE,5.93,1.62896712583659,1.62896712583659,81.94,6563532.0,82.0,2.850547820641,,,,,,,
21,NDA,Aurubis AG,candidate,False,4.0,setup,CANDIDATE,5.21,1.71303271739611,1.71303271739611,187.8,341084.0,186.7,7.01828111667246,,,,,,,
22,ACAD,AcadeMedia AB (publ),candidate,False,5.0,setup,CANDIDATE,4.5,1.60310462755157,1.60310462755157,103.4,180003.0,103.8,2.33987418032544,,,,,,,
23,STORY-B,Storytel AB (publ),candidate,False,6.0,setup,CANDIDATE,3.37,1.46840742087628,1.46840742087628,101.7,396720.0,97.25,3.16912615682194,,,,,,,
24,ATS,AT & S Austria Technologie & Systemtechnik Aktiengesellschaf t,candidate,False,7.0,setup,CANDIDATE,2.45,1.75488557467752,1.75488557467752,74.8,277242.0,72.0,3.92547814154318,,,,,,,
