display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,JBHT,JB Hunt Transport Services Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.05,,2.75384455189809,238.32,2530985.0,230.19,7.37473241271516,230.19,219.1279,11.0621,252.3142,263.3763,,
2,NN,Nextnav Acquisition Corp,entry_ready,True,,setup+breakout,ENTRY_READY,5.47,,4.1705545396715,21.49,8235094.0,19.91,1.44493690180922,19.91,17.7426,2.1674,24.2448,26.4122,,
3,VSH,Vishay Intertechnology Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.37,,2.86735185934818,26.25,6185531.0,23.855,1.12708444942806,23.855,22.1644,1.6906,27.2363,28.9269,,
4,ALB-PA,Albemarle Corporation,entry_ready,True,,setup+breakout,ENTRY_READY,4.69,,3.39217864971481,84.98,812833.0,75.73,3.65173834352948,75.73,70.2524,5.4776,86.6852,92.1628,,
5,BK,The Bank of New York Mellon Corporation,candidate,False,1.0,setup,CANDIDATE,6.15,1.84811418399336,1.84811418399336,134.84,7183400.0,132.35,2.76315423260915,,,,,,,
6,AVNS,Avanos Medical Inc,candidate,False,3.0,setup,CANDIDATE,5.33,1.8329304948772,1.8329304948772,24.66,3523474.0,24.72,1.00230848092695,,,,,,,
7,TAL,TAL Education Group,candidate,False,4.0,setup,CANDIDATE,4.01,2.11044713694749,2.11044713694749,12.46,5281603.0,11.925,0.447438955456759,,,,,,,
8,AXGN,Axogen Inc,candidate,False,5.0,setup,CANDIDATE,3.89,2.59306086307874,2.59306086307874,37.37,2526856.0,35.365,1.93388845310164,,,,,,,
9,ARCB,ArcBest Corp,candidate,False,6.0,setup,CANDIDATE,3.63,1.73168857251363,1.73168857251363,114.17,520277.0,111.36,4.35520560943689,,,,,,,
10,AMLX,Amylyx Pharmaceuticals Inc,candidate,False,7.0,setup,CANDIDATE,2.59,1.8917577129177,1.8917577129177,17.73,2377547.0,17.36,0.879395244194385,,,,,,,
