display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,0AAL,Allfunds Group PLC,entry_ready,True,,setup+breakout,ENTRY_READY,7.7,,10.5492963139043,14.944,5483059.0,14.944,6.31046067430546,14.8693,5.4036,9.4657,33.8007,43.2664,,
2,B7J,SRV Yhtiöt Oyj,entry_ready,True,,setup+breakout,ENTRY_READY,7.7,,7.10193765796125,5.28,843.0,5.28,0.0487720749870377,5.2536,5.1804,0.0732,5.3999,5.4731,,
3,ACAST,Acast AB,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,6.58361606819174,30.1,2206493.0,29.45,1.15552784095234,29.3027,27.5695,1.7333,32.7693,34.5026,,
4,ALWEC,WeConnect,entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,8.49267707082833,26.2,8843.0,24.7,0.939014826373774,24.5765,23.168,1.4085,27.3935,28.8021,,
5,BOY,Banco Bilbao Vizcaya Argentaria S.A,entry_ready,True,,setup+breakout,ENTRY_READY,7.19,,4.88885881230875,20.3,115589.0,20.1,0.550204906344472,19.9995,19.1742,0.8253,21.6501,22.4754,,
6,RTC,RealTech AG,entry_ready,True,,setup+breakout,ENTRY_READY,7.19,,5.8862126343864,1.34,24939.0,1.26,0.0579180310513982,1.2537,1.1668,0.0869,1.4275,1.5143,,
7,ECK,LUDWIG BECK am Rathauseck - Textilhaus Feldmeier AG,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,7.68905787917195,18.6,910.0,18.0,0.287305008732219,17.91,17.479,0.431,18.7719,19.2029,,
8,MEMS,Memscap Regpt,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,11.8617887350326,5.08,329288.0,4.68,0.234959899798641,4.6566,4.3042,0.3524,5.3615,5.7139,,
9,SEM,Semperit Aktiengesellschaft Holding,entry_ready,True,,setup+breakout,ENTRY_READY,6.33,,4.62576474557109,14.95,76101.0,14.96,0.207798262565972,14.8852,14.5735,0.3117,15.5086,15.8203,,
10,0A29,Solutions 30 SE,entry_ready,True,,setup+breakout,ENTRY_READY,5.25,,3.55332883707486,10.31,70072.0,10.31,9.06610925161706,10.2584,-3.3407,13.5992,37.4568,51.0559,,
11,SYIFJERADKKA,Sydinvest Fjernøsten Akkumulerende KL,entry_ready,True,,setup+breakout,ENTRY_READY,5.19,,3.49178554874594,456.4,3390.0,448.9,7.73872612258118,446.6555,435.0474,11.6081,469.8717,481.4798,,
12,SKIVEK,SKAGEN Vekst A,entry_ready,True,,setup+breakout,ENTRY_READY,5.08,,3.38121546961326,4191.5,153.0,4188.5,39.7839855084753,4167.5575,4107.8815,59.676,4286.9095,4346.5854,,
