display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,RAPP,"Rapport Therapeutics, Inc. Common Stock",entry_ready,True,,setup+breakout,ENTRY_READY,6.35,,4.65288701439401,39.71,1667200.0,39.66,2.02852650213203,39.66,36.6172,3.0428,45.7456,48.7884,,
2,LION,Lionsgate Studios Holding Corp. (to be renamed Lionsgate Stu dios Corp.),entry_ready,True,,setup+breakout,ENTRY_READY,5.83,,3.92981169730948,12.45,9834700.0,11.4,0.505910149232637,11.4,10.6411,0.7589,12.9177,13.6766,,
3,MXL,MaxLinear Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.31,,3.41193727016162,26.27,4184800.0,23.45,1.17437690981352,23.45,21.6884,1.7616,26.9731,28.7347,,
4,TRVI,Trevi Therapeutics  Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.22,,4.51775869730608,15.23,7258600.0,14.75,0.888250804750082,14.75,13.4176,1.3324,17.4148,18.7471,,
5,CVBF,CVB Financial Corporation,candidate,False,1.0,setup,CANDIDATE,8.48,4.98115293682687,4.98115293682687,20.68,12699800.0,20.8,0.53426649996942,,,,,,,
6,DOV,Dover Corporation,candidate,False,2.0,setup,CANDIDATE,6.89,2.59428879788101,2.59428879788101,219.07,2560100.0,220.3,5.57925801107671,,,,,,,
7,SPXC,SPX Corp,candidate,False,3.0,setup,CANDIDATE,6.82,2.51567899228967,2.51567899228967,223.52,1475800.0,225.06,8.93971504831602,,,,,,,
8,FFBC,First Financial Bancorp,candidate,False,4.0,setup,CANDIDATE,6.48,2.98265846754757,2.98265846754757,29.76,4509900.0,29.94,0.697604930082996,,,,,,,
9,HTBK,Heritage Commerce Corp,candidate,False,6.0,setup,CANDIDATE,6.14,3.83766266294457,3.83766266294457,13.45,3933100.0,13.495,0.344949730572947,,,,,,,
10,SYF,Synchrony Financial,candidate,False,7.0,setup,CANDIDATE,6.03,1.73483338532615,1.73483338532615,78.34,5255200.0,76.81,2.02725400855843,,,,,,,
11,FRO,Frontline Ltd,candidate,False,8.0,setup,CANDIDATE,5.66,1.95976177928636,1.95976177928636,37.13,7191800.0,37.06,1.68783441925978,,,,,,,
12,APG,Api Group Corp,candidate,False,9.0,setup,CANDIDATE,5.63,2.33458608020385,2.33458608020385,46.75,8413800.0,45.48,1.37354977819992,,,,,,,
13,SFNC,Simmons First National Corporation,candidate,False,10.0,setup,CANDIDATE,5.61,2.10541858892112,2.10541858892112,21.52,3024200.0,21.18,0.56300084506965,,,,,,,
14,ALLY,Ally Financial Inc,candidate,False,11.0,setup,CANDIDATE,5.57,2.27005908391177,2.27005908391177,45.36,7595300.0,43.13,1.33795300869997,,,,,,,
