display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,MCHPP,Microchip Technology Incorporated,entry_ready,True,,setup+breakout,ENTRY_READY,8.3,,6.2809602575764,69.5,582115.0,68.7,1.84261579536899,68.7,65.9361,2.7639,74.2278,76.9918,,
2,SILA,"Sila Realty Trust, Inc.",entry_ready,True,,setup+breakout,ENTRY_READY,7.9,,12.625730370134,30.4,9495291.0,25.72,0.81649203512222,25.72,24.4953,1.2247,28.1695,29.3942,,
3,NKTR,Nektar Therapeutics,entry_ready,True,,setup+breakout,ENTRY_READY,6.91,,5.00694943359545,100.35,4747083.0,86.95,5.62169912050955,86.95,78.5175,8.4325,103.8151,112.2476,,
4,SIRI,Sirius XM Holding Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.19,,2.88902959782351,27.22,11868611.0,25.91,0.681710142534393,25.91,24.8874,1.0226,27.9551,28.9777,,
5,AOSL,Alpha and Omega Semiconductor Ltd,entry_ready,True,,setup+breakout,ENTRY_READY,5.56,,4.86078592414313,39.9,2474150.0,35.7,2.21247913379028,35.7,32.3813,3.3187,42.3374,45.6562,,
6,POET,POET Technologies Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.52,,3.6223246450315,8.59,44654739.0,7.75,0.708313672942216,7.75,6.6875,1.0625,9.8749,10.9374,,
7,ARCO,Arcos Dorados Holdings Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.49,,4.19142100704067,9.5,4049515.0,9.03,0.288832411927018,9.03,8.5968,0.4332,9.8965,10.3297,,
8,OCS,Oculis Holding AG Ordinary shares,entry_ready,True,,setup+breakout,ENTRY_READY,5.02,,2.71547795904831,28.61,597712.0,28.23,1.12986530647627,28.23,26.5352,1.6948,31.6196,33.3144,,
9,HPE-PC,Hewlett Packard Enterprise Co,entry_ready,True,,setup+breakout,ENTRY_READY,4.75,,3.44727225529719,74.59,557754.0,71.67,2.12077721178573,71.67,68.4888,3.1812,78.0323,81.2135,,
10,HPE-P-C,HPE-P-C,entry_ready,True,,setup+breakout,ENTRY_READY,4.69,,3.39361275246944,74.59,557754.0,71.67,2.1549203123289,71.67,68.4376,3.2324,78.1348,81.3671,,
11,KYTX,"Kyverna Therapeutics, Inc. Common Stock",entry_ready,True,,setup+breakout,ENTRY_READY,4.11,,3.41191952414602,11.25,2632401.0,10.03,0.693301994756561,10.03,8.99,1.04,12.1099,13.1499,,
12,FERG,Ferguson Plc,candidate,False,3.0,setup,CANDIDATE,6.04,1.74408754898551,1.74408754898551,263.42,2107432.0,265.12,6.72087846753265,,,,,,,
13,LION,Lionsgate Studios Holding Corp. (to be renamed Lionsgate Stu dios Corp.),candidate,False,4.0,setup,CANDIDATE,5.58,2.68490969170613,2.68490969170613,12.45,6808267.0,12.47,0.507579832450714,,,,,,,
14,CM,Canadian Imperial Bank Of Commerce,candidate,False,5.0,setup,CANDIDATE,5.58,1.88245207656862,1.88245207656862,109.99,3174687.0,110.27,1.9457971020573,,,,,,,
15,SKM,SK Telecom Co Ltd ADR,candidate,False,6.0,setup,CANDIDATE,5.54,2.04257243695981,2.04257243695981,38.11,3398954.0,38.18,1.4847925438514,,,,,,,
16,SFNC,Simmons First National Corporation,candidate,False,8.0,setup,CANDIDATE,5.44,1.94103020032529,1.94103020032529,21.66,2678114.0,21.78,0.591478335727941,,,,,,,
17,HG,"Hamilton Insurance Group, Ltd.",candidate,False,9.0,setup,CANDIDATE,5.39,2.48617336065589,2.48617336065589,32.6,982911.0,32.12,0.746242418334556,,,,,,,
18,WAFD,Washington Federal Inc,candidate,False,10.0,setup,CANDIDATE,5.38,1.88140912879921,1.88140912879921,35.2,1350034.0,35.27,0.84051217629544,,,,,,,
19,STLD,Steel Dynamics Inc,candidate,False,11.0,setup,CANDIDATE,5.3,2.00457687625513,2.00457687625513,209.35,2204700.0,202.59,6.18714513528077,,,,,,,
20,LBTYK,Liberty Global PLC Class C,candidate,False,12.0,setup,CANDIDATE,5.29,2.39379950902942,2.39379950902942,12.29,3941766.0,12.28,0.307494050265389,,,,,,,
21,VECO,Veeco Instruments Inc,candidate,False,14.0,setup,CANDIDATE,4.89,2.39452793300216,2.39452793300216,46.73,2722902.0,44.17,2.09827772449749,,,,,,,
