display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,FBP,First Bancorp,entry_ready,True,,setup+breakout,ENTRY_READY,7.02,,3.52266843969475,24.04,4127000.0,23.615,0.526484898395081,23.615,22.8253,0.7897,25.1945,25.9842,,
2,DBRG,Digitalbridge Group Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.66,,2.95569205275539,15.61,9232246.0,15.6,0.051010357532026,15.6,15.5235,0.0765,15.753,15.8295,,
3,NVTS,Navitas Semiconductor Corp,entry_ready,True,,setup+breakout,ENTRY_READY,6.31,,3.61149866589439,15.33,87109071.0,13.42,1.13298587054421,13.42,11.7205,1.6995,16.819,18.5184,,
4,NTRS,Northern Trust Corporation,entry_ready,True,,setup+breakout,ENTRY_READY,6.1,,2.8042713614867,171.74,2726800.0,161.13,4.30762488028647,161.13,154.6686,6.4614,174.0529,180.5143,,
5,PBI,Pitney Bowes Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.0,,3.50215017184777,14.63,9821891.0,13.2,0.453117283583237,13.2,12.5203,0.6797,14.5594,15.239,,
6,CAR,Avis Budget Group Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.54,,2.83844716269688,713.97,11938842.0,611.95,58.6146900265221,611.95,524.028,87.922,787.7941,875.7161,,
7,RCUS,Arcus Biosciences Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.02,,3.32257745666964,24.52,3401799.0,24.34,1.43062747153439,24.34,22.1941,2.1459,28.6319,30.7778,,
8,HWKN,Hawkins Inc,entry_ready,True,,setup+breakout,ENTRY_READY,4.62,,2.72367487722072,164.39,503011.0,158.95,6.19547447847281,158.95,149.6568,9.2932,177.5364,186.8296,,
9,MCHPP,Microchip Technology Incorporated,candidate,False,1.0,setup+breakout,ENTRY_READY,7.98,5.67527937909354,5.67527937909354,69.8,728812.0,69.5,1.78456466712835,,,,,,,
10,MXL,MaxLinear Inc,candidate,False,2.0,setup+breakout,ENTRY_READY,7.62,4.71794306014257,4.71794306014257,33.7,9082900.0,33.135,1.87078927427798,,,,,,,
11,SILA,"Sila Realty Trust, Inc.",candidate,False,3.0,setup,CANDIDATE,7.03,3.52842636436376,3.52842636436376,30.39,3151019.0,30.53,0.761742604042061,,,,,,,
12,DGX,Quest Diagnostics Incorporated,candidate,False,5.0,setup,CANDIDATE,6.81,2.50771068799866,2.50771068799866,205.04,2426018.0,202.9109,5.0341201199387,,,,,,,
13,EWBC,East West Bancorp Inc,candidate,False,6.0,setup,CANDIDATE,6.78,2.48424180320869,2.48424180320869,120.9,2254400.0,119.89,2.80379930615399,,,,,,,
14,HPE-PC,Hewlett Packard Enterprise Co,candidate,False,7.0,setup+breakout,ENTRY_READY,5.77,4.47033337519005,4.47033337519005,77.19,742266.0,74.945,2.28715026808675,,,,,,,
15,HPE-P-C,HPE-P-C,candidate,False,8.0,setup+breakout,ENTRY_READY,5.73,4.42515733253103,4.42515733253103,77.19,747171.0,74.945,2.32028314716255,,,,,,,
16,STLD,Steel Dynamics Inc,candidate,False,9.0,setup,CANDIDATE,5.46,2.15921603496124,2.15921603496124,220.21,2450500.0,211.75,6.92306333990357,,,,,,,
17,COHU,Cohu Inc,candidate,False,10.0,setup,CANDIDATE,5.16,2.25683849462017,2.25683849462017,44.88,1816466.0,44.42,1.8569228029575,,,,,,,
18,STT,State Street Corp,candidate,False,11.0,setup,CANDIDATE,5.07,1.76815917046586,1.76815917046586,153.57,3703590.0,150.275,3.86739024152975,,,,,,,
