display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,INBX,"Inhibrx Biosciences, Inc.",entry_ready,True,,setup+breakout,ENTRY_READY,7.3,,6.98170533225821,115.09,2723964.0,89.89,10.1600028378204,89.89,74.65,15.24,120.37,135.61,,
2,FCEL,FuelCell Energy Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.35,,5.0494178693629,11.8,16896661.0,10.343,0.78645009752636,10.343,9.1633,1.1797,12.7024,13.882,,
3,IFNNY,Infineon Technologies AG ADR,entry_ready,True,,setup+breakout,ENTRY_READY,5.94,,3.63868415224341,58.32,470700.0,57.86,1.92499984195896,57.86,54.9725,2.8875,63.635,66.5225,,
4,POWI,Power Integrations Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.51,,3.00594007101571,71.73,2693700.0,69.5,3.15682655346688,69.5,64.7648,4.7352,78.9705,83.7057,,
5,MCRI,Monarch Casino & Resort Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.31,,4.01357118620215,114.24,537600.0,102.86,3.52665757333656,102.86,97.57,5.29,113.44,118.73,,
6,HCSG,Healthcare Services Group Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.17,,3.87127511578183,22.89,2594504.0,19.91,0.957286533691572,19.91,18.4741,1.4359,22.7819,24.2178,,
7,ASYS,Amtech Systems Inc,entry_ready,True,,setup+breakout,ENTRY_READY,4.71,,4.01147780800684,18.0,747927.0,17.41,1.08090689513935,17.41,15.7886,1.6214,20.6527,22.2741,,
8,HAFC,Hanmi Financial Corporation,entry_ready,True,,setup+breakout,ENTRY_READY,4.21,,2.91272789367404,29.57,708735.0,28.58,0.771714065093709,28.58,27.4224,1.1576,30.8951,32.0527,,
9,CRVS,Corvus Pharmaceuticals Inc,entry_ready,True,,setup+breakout,ENTRY_READY,3.63,,2.92827802206522,17.85,3358363.0,17.28,1.23987032513279,17.28,15.4202,1.8598,20.9996,22.8594,,
10,TXN,Texas Instruments Incorporated,candidate,False,1.0,setup,CANDIDATE,6.26,1.96427335376562,1.96427335376562,236.31,11375200.0,236.0,5.88721887220286,,,,,,,
11,EWBC,East West Bancorp Inc,candidate,False,2.0,setup,CANDIDATE,6.16,1.85841316844993,1.85841316844993,122.09,1765133.0,121.39,2.88495649857156,,,,,,,
12,STM,STMicroelectronics NV ADR,candidate,False,3.0,setup,CANDIDATE,6.01,1.71442185805133,1.71442185805133,44.86,16908800.0,45.11,1.45791644079701,,,,,,,
13,SILA,"Sila Realty Trust, Inc.",candidate,False,4.0,setup,CANDIDATE,5.99,2.49294761358149,2.49294761358149,30.44,2478097.0,30.53,0.711618132324771,,,,,,,
14,SIRI,Sirius XM Holding Inc,candidate,False,6.0,setup,CANDIDATE,5.85,2.54554677993179,2.54554677993179,28.06,12400323.0,27.33,0.828795990246492,,,,,,,
15,RS,Reliance Steel & Aluminum Co,candidate,False,7.0,setup,CANDIDATE,5.72,2.42041094564051,2.42041094564051,350.87,618700.0,340.93,8.69282376976816,,,,,,,
16,WEX,Wex Inc,candidate,False,8.0,setup,CANDIDATE,5.68,2.38099970337284,2.38099970337284,184.93,1108115.0,179.5,6.582347794298,,,,,,,
17,VECO,Veeco Instruments Inc,candidate,False,10.0,setup,CANDIDATE,5.37,1.87404167648924,1.87404167648924,50.37,2257673.0,49.454,2.20969048693916,,,,,,,
18,PBI,Pitney Bowes Inc,candidate,False,11.0,setup,CANDIDATE,5.1,2.6023191197492,2.6023191197492,15.22,8023100.0,14.8696,0.487537477613006,,,,,,,
19,ZWS,Zurn Elkay Water Solutions Corporation,candidate,False,12.0,setup,CANDIDATE,4.64,2.14101930672308,2.14101930672308,52.48,1995090.0,49.88,1.61588413645718,,,,,,,
