display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,VLY,Valley National Bancorp,entry_ready,True,,setup+breakout,ENTRY_READY,7.19,,2.89230533968412,13.77,20033476.0,13.7,0.382449601387154,13.7,13.1263,0.5737,14.8473,15.421,,
2,TXN,Texas Instruments Incorporated,entry_ready,True,,setup+breakout,ENTRY_READY,7.04,,3.74196268668886,282.23,25620382.0,238.8,8.87956038133122,238.8,225.4807,13.3193,265.4387,278.758,,
3,WST,West Pharmaceutical Services Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.51,,3.21284043956254,309.7,2416794.0,281.185,9.87018168936982,281.185,266.3797,14.8053,310.7955,325.6008,,
4,UNP,Union Pacific Corporation,entry_ready,True,,setup+breakout,ENTRY_READY,6.11,,2.81074482831473,271.26,8477300.0,256.09,5.92104116814901,256.09,247.2084,8.8816,273.8531,282.7347,,
5,AZZ,AZZ Incorporated,entry_ready,True,,setup+breakout,ENTRY_READY,5.7,,3.79652608924574,146.59,679600.0,140.01,4.77045696970617,140.01,132.8543,7.1557,154.3214,161.4771,,
6,HXL,Hexcel Corporation,candidate,False,2.0,setup,CANDIDATE,6.97,2.67483180317868,2.67483180317868,91.32,3212125.0,90.58,3.63065767699834,,,,,,,
7,CX,Cemex SAB de CV ADR,candidate,False,3.0,setup,CANDIDATE,6.97,2.66678209672738,2.66678209672738,12.51,15953400.0,12.28,0.447385928058526,,,,,,,
8,DOV,Dover Corporation,candidate,False,4.0,setup,CANDIDATE,6.73,2.43438967892221,2.43438967892221,228.15,2386500.0,224.11,6.24797973456199,,,,,,,
9,TECK,Teck Resources Ltd Class B,candidate,False,5.0,setup,CANDIDATE,6.61,2.31147904461008,2.31147904461008,60.75,7267900.0,60.62,2.36871289261582,,,,,,,
10,NEE,Nextera Energy Inc,candidate,False,6.0,setup,CANDIDATE,6.55,2.24744674490537,2.24744674490537,96.25,17516032.0,96.205,2.15163445238248,,,,,,,
11,BYD,Boyd Gaming Corporation,candidate,False,7.0,setup,CANDIDATE,6.41,2.1094254957031,2.1094254957031,89.15,1405805.0,89.0,2.37237584917313,,,,,,,
12,BA-PA,Boeing Co,candidate,False,8.0,setup,CANDIDATE,6.34,2.03555799449413,2.03555799449413,74.43,1694440.0,73.44,1.94097330445938,,,,,,,
13,ARMK,Aramark Holdings,candidate,False,9.0,setup,CANDIDATE,6.31,2.00847696480529,2.00847696480529,46.17,4398244.0,46.17,1.13052879138854,,,,,,,
14,BA-P-A,BA-P-A,candidate,False,10.0,setup,CANDIDATE,6.25,1.94584063940371,1.94584063940371,74.43,1700863.0,73.47,1.95099598778383,,,,,,,
15,AIZ,Assurant Inc,candidate,False,11.0,setup,CANDIDATE,6.19,1.89349573035356,1.89349573035356,230.46,464599.0,230.765,4.36224331091045,,,,,,,
