display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,MXL,MaxLinear Inc,entry_ready,True,,setup+breakout,ENTRY_READY,8.7,,7.71864939281905,60.32,28960000.0,37.37,3.92390088760522,37.37,31.4841,5.8859,49.1417,55.0276,,
2,COHU,Cohu Inc,entry_ready,True,,setup+breakout,ENTRY_READY,7.25,,3.74636769374029,46.93,3704400.0,46.71,1.90209890601225,46.71,43.8569,2.8531,52.4163,55.2694,,
3,SXT,Sensient Technologies Corporation,entry_ready,True,,setup+breakout,ENTRY_READY,7.23,,4.73013568938195,123.15,1763900.0,102.0,4.77840274921116,102.0,94.8324,7.1676,116.3352,123.5028,,
4,POET,POET Technologies Inc,entry_ready,True,,setup+breakout,ENTRY_READY,5.94,,3.24414301676883,15.1,77618200.0,12.95,1.23795285331379,12.95,11.0931,1.8569,16.6639,18.5208,,
5,UVE,Universal Insurance Holdings Inc,entry_ready,True,,setup+breakout,ENTRY_READY,4.12,,2.81631816552603,39.48,524500.0,36.46,1.40126499638614,36.46,34.3581,2.1019,40.6638,42.7657,,
6,MRAM,Everspin Technologies Inc,entry_ready,True,,setup+breakout,ENTRY_READY,3.82,,3.11660550394771,14.07,1365000.0,13.22,0.736854977463345,13.22,12.1147,1.1053,15.4306,16.5358,,
7,PDFS,PDF Solutions Inc,entry_ready,True,,setup+breakout,ENTRY_READY,3.71,,3.01201241877718,46.49,1348651.0,45.3,2.09665221157833,45.3,42.155,3.145,51.59,54.7349,,
8,LSCC,Lattice Semiconductor Corporation,candidate,False,2.0,setup,CANDIDATE,6.44,2.14356439804496,2.14356439804496,122.8,3329100.0,121.44,5.46193641104011,,,,,,,
9,ESI,Element Solutions Inc,candidate,False,3.0,setup,CANDIDATE,6.29,1.99174433597063,1.99174433597063,40.34,5414262.0,39.6,1.52674781395011,,,,,,,
10,SCI,Service Corporation International,candidate,False,4.0,setup,CANDIDATE,6.05,1.75279408543672,1.75279408543672,87.73,1765400.0,86.415,1.82229382609532,,,,,,,
11,BKR,Baker Hughes Co,candidate,False,5.0,setup,CANDIDATE,5.16,1.85923368757314,1.85923368757314,68.94,15502500.0,65.56,2.21714617281235,,,,,,,
12,ENTG,Entegris Inc,candidate,False,6.0,setup,CANDIDATE,5.09,1.79488619620451,1.79488619620451,155.98,4337400.0,151.994,6.19513085096865,,,,,,,
13,DIOD,Diodes Incorporated,candidate,False,7.0,setup,CANDIDATE,4.34,1.83592514771213,1.83592514771213,104.4,1018600.0,101.9122,4.19946318770223,,,,,,,
14,SYNA,Synaptics Incorporated,candidate,False,8.0,setup,CANDIDATE,4.23,2.3324945078842,2.3324945078842,93.86,1815200.0,89.93,4.36383858564171,,,,,,,
15,HRTG,Heritage Insurance Hldgs Inc,candidate,False,9.0,setup,CANDIDATE,4.02,1.71897250502384,1.71897250502384,29.27,460700.0,28.73,1.09323986738761,,,,,,,
