display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,MLWEA,Weaccess Group SA,entry_ready,True,,setup+breakout,ENTRY_READY,8.06,,5.75815738963532,2.72,1500.0,2.72,0.118805191726225,2.7064,2.5282,0.1782,3.0628,3.241,,
2,BKS,BKS Bank AG,entry_ready,True,,setup+breakout,ENTRY_READY,7.7,,6.66985760440349,21.0,8361.0,21.0,0.0295478451221545,20.895,20.8507,0.0443,20.9836,21.028,,
3,MVE,Matvareexpressen As,entry_ready,True,,setup+breakout,ENTRY_READY,7.64,,5.34313725490196,220.0,436.0,220.0,4.75621552389103,218.9,211.7657,7.1343,233.1686,240.303,,
4,CMO,Cementos Molins SA,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,6.70068315266486,37.8,47473.0,35.6,0.359560938594827,35.422,34.8827,0.5393,36.5007,37.04,,
5,HAV,HAV Group ASA,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,9.04241206116476,12.4,1052747.0,9.88,0.656750229415564,9.8306,8.8455,0.9851,11.8009,12.786,,
6,SCE,Schweizer Electronic AG,entry_ready,True,,setup+breakout,ENTRY_READY,6.7,,8.5440010759648,7.4,50821.0,6.88,0.362213864588585,6.8456,6.3023,0.5433,7.9322,8.4756,,
7,PYT,Polytec Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,6.56,,5.26373688902377,4.05,97132.0,3.84,0.12141721115652,3.8208,3.6387,0.1821,4.1851,4.3672,,
8,ALPAU,Paulic Meunerie Sa,entry_ready,True,,setup+breakout,ENTRY_READY,6.52,,5.81942190808834,1.58,10580.0,1.475,0.105411909188815,1.4676,1.3095,0.1581,1.7839,1.942,,
9,M12,M1 Kliniken AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.98,,2.67577382711879,17.4,12673.0,17.16,0.595464504054983,17.0742,16.181,0.8932,18.8606,19.7538,,
10,ABEA,Alphabet Inc Class A,entry_ready,True,,setup+breakout,ENTRY_READY,4.68,,3.3803345401915,320.75,75672.0,304.1,7.19741172547227,302.5795,291.7834,10.7961,324.1717,334.9679,,
11,AYV,ALD SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.63,,2.3253529111193,11.48,2062442.0,11.36,0.324709353078536,11.3032,10.8161,0.4871,12.2773,12.7644,,
12,MLZAM,ZCCM Investments Holdings Plc,entry_ready,True,,setup+breakout,ENTRY_READY,4.61,,2.30904469392078,2.96,10901.0,2.94,0.0549430149178787,2.9253,2.8429,0.0824,3.0901,3.1725,,
13,ALAVI,AdVini S.A.,entry_ready,True,,setup+breakout,ENTRY_READY,4.46,,2.76395980892769,17.5,839.0,17.3,0.230134110739391,17.2135,16.8683,0.3452,17.9039,18.2491,,
14,HDLY,Huddly AS,entry_ready,True,,setup+breakout,ENTRY_READY,4.36,,3.66199568732451,32.0,28106.0,28.3,2.09405939870846,28.1585,25.0174,3.1411,34.4407,37.5818,,
15,APAM,Aperam SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.28,,2.98016517258417,45.5,8444.0,42.54,1.62604779569363,42.3273,39.8882,2.4391,47.2054,49.6445,,
16,BNN,BRAIN Biotech AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.26,,2.56235047219307,2.76,15262.0,2.76,0.182630945221162,2.7462,2.4723,0.2739,3.2941,3.568,,
17,PHM7,Altria Group Inc,entry_ready,True,,setup+breakout,ENTRY_READY,4.15,,2.85495692623139,61.78,18658.0,58.71,1.42815894351144,58.4164,56.2742,2.1422,62.7009,64.8432,,
18,ABEC,Alphabet Inc,entry_ready,True,,setup+breakout,ENTRY_READY,4.03,,2.72543807398583,317.95,15328.0,301.85,6.66877313944851,300.3408,290.3376,10.0032,320.3471,330.3502,,
19,OUT1V,Outokumpu Oyj,entry_ready,True,,setup+breakout,ENTRY_READY,3.8,,2.50062461688456,5.715,2805420.0,5.485,0.193924076555793,5.4576,5.1667,0.2909,6.0393,6.3302,,
20,CAT1,Caterpillar Inc,entry_ready,True,,setup+breakout,ENTRY_READY,3.58,,2.28341384863124,762.0,1418.0,720.2,21.2632060485452,716.599,684.7042,31.8948,780.3886,812.2834,,
21,WAF,Siltronic AG,entry_ready,True,,setup+breakout,ENTRY_READY,3.07,,2.36741873890123,79.7,212638.0,77.0,4.25284590670593,76.615,70.2357,6.3793,89.3735,95.7528,,
22,SMHN,SÜSS MicroTec SE,entry_ready,True,,setup+breakout,ENTRY_READY,2.98,,2.28405205143508,76.2,297941.0,71.6,3.60326337040872,71.242,65.8371,5.4049,82.0518,87.4567,,
