display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,DFENS,Fjord Defence Group ASA,entry_ready,True,,setup+breakout,ENTRY_READY,8.3,,15.4226263958506,16.0,5727409.0,15.8,0.588931850501228,15.721,14.8376,0.8834,17.4878,18.3712,,
2,MTB,Montebalito S.A.,entry_ready,True,,setup+breakout,ENTRY_READY,8.06,,5.75946060259249,1.8,23149.0,1.8,0.0585835257682455,1.791,1.7031,0.0879,1.9668,2.0546,,
3,0RPV,Freni Brembo SpA,entry_ready,True,,setup+breakout,ENTRY_READY,7.7,,7.48352397545641,12.366,39516.0,12.366,2.47019406190079,12.3042,8.5989,3.7053,19.7148,23.42,,
4,ACX,bet-at-home.com AG,entry_ready,True,,setup+breakout,ENTRY_READY,7.25,,5.94792902765236,3.1,62905.0,2.75,0.128344427447405,2.7363,2.5437,0.1925,3.1213,3.3138,,
5,SFAST,Stenhus Fastigheter I Norden AB,entry_ready,True,,setup+breakout,ENTRY_READY,6.41,,4.1087590508487,12.5,626527.0,12.28,0.317084061922191,12.2186,11.743,0.4756,13.1699,13.6455,,
6,V6C,Viscom AG,entry_ready,True,,setup+breakout,ENTRY_READY,5.71,,5.01336693514057,5.84,44163.0,5.5,0.299162989300246,5.4725,5.0238,0.4487,6.37,6.8187,,
7,CEV,Compania Espanola de Viviendas en Alquiler SA,entry_ready,True,,setup+breakout,ENTRY_READY,5.41,,3.11078140454995,9.5,1887.0,9.35,0.395527958037557,9.3033,8.71,0.5933,10.4898,11.0831,,
8,04Q,Nordea Bank Abp,entry_ready,True,,setup+breakout,ENTRY_READY,5.3,,3.0006006006006,16.22,26229.0,16.245,0.300257386281807,16.1638,15.7134,0.4504,17.0645,17.5149,,
9,FPILIM,Formuepleje Limittellus,entry_ready,True,,setup+breakout,ENTRY_READY,5.09,,3.39072391598019,289.4,12801.0,289.2,1.88326124889716,287.754,284.9291,2.8249,293.4038,296.2287,,
10,ALFEN,Alfen Beheer BV,entry_ready,True,,setup+breakout,ENTRY_READY,4.91,,4.20953975753149,15.95,1987699.0,15.4,0.874124990306268,15.323,14.0118,1.3112,17.9454,19.2566,,
11,BWE,BW Energy Ltd,entry_ready,True,,setup+breakout,ENTRY_READY,4.88,,2.57784552008239,59.2,312886.0,59.1,2.60300830066709,58.8045,54.9,3.9045,66.6135,70.518,,
12,YTCH,"Techo Hogar SOCIMI, S.A.",entry_ready,True,,setup+breakout,ENTRY_READY,4.84,,3.14112397155208,1.12,9010.0,1.12,0.00156763292853705,1.1144,1.112,0.0024,1.1191,1.1215,,
13,CAT31,Ca Toulouse 31 CCI,entry_ready,True,,setup+breakout,ENTRY_READY,4.83,,2.53218884120172,143.9,1475.0,142.0,4.84422353519205,141.29,134.0237,7.2663,155.8227,163.089,,
14,HOME-B,HomeMaid AB,entry_ready,True,,setup+breakout,ENTRY_READY,4.69,,2.38828687612168,36.0,10513.0,35.9,1.27191723978685,35.7205,33.8126,1.9079,39.5363,41.4441,,
15,SPG,SP Group A/S,entry_ready,True,,setup+breakout,ENTRY_READY,4.69,,2.39247357151287,402.0,28380.0,403.5,12.9015487205581,401.4825,382.1302,19.3523,440.1871,459.5395,,
16,ELEC,Électricite de Strasbourg Société Anonyme,entry_ready,True,,setup+breakout,ENTRY_READY,4.65,,2.35274954391452,247.0,3611.0,244.0,5.31546758711769,242.78,234.8068,7.9732,258.7264,266.6996,,
17,FACC,Facc AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.48,,2.78184558846925,15.06,139889.0,14.98,0.709250327861401,14.9051,13.8412,1.0639,17.0329,18.0967,,
18,YEUR,Euro Cervantes SOCIMI SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.2,,2.5,31.8,180.0,31.8,0.212648148109187,31.641,31.322,0.319,32.2789,32.5979,,
19,ZAP,Zaptec AS,entry_ready,True,,setup+breakout,ENTRY_READY,4.15,,2.25207709893868,45.9,1211640.0,43.6,1.93824134770989,43.382,40.4746,2.9074,49.1967,52.1041,,
20,WIHN,Wisekey International Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.07,,3.37378973595759,15.5,50439.0,14.7,1.16771972493542,14.6265,12.8749,1.7516,18.1297,19.8812,,
21,CLR,CLERHP Estructuras S.A,entry_ready,True,,setup+breakout,ENTRY_READY,3.95,,2.64854392083222,9.4,66642.0,8.5,0.341044016356616,8.4575,7.9459,0.5116,9.4806,9.9922,,
22,FAST,Fastned B.V.,entry_ready,True,,setup+breakout,ENTRY_READY,3.71,,2.410641754671,34.55,62911.0,32.2,1.15343306774694,32.039,30.3089,1.7301,35.4993,37.2294,,
23,CEDER,Cedergrenska AB,entry_ready,True,,setup+breakout,ENTRY_READY,3.58,,2.27683385437905,45.8,37689.0,44.0,1.3986761566502,43.78,41.682,2.098,47.976,50.074,,
24,AL2SI,2CRSI S.A.,entry_ready,True,,setup+breakout,ENTRY_READY,2.76,,2.06389902155654,45.02,506871.0,43.2,2.72679879233794,42.984,38.8938,4.0902,51.1644,55.2546,,
