display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,EMIL-B,Fastighetsbolaget Emilshus AB,entry_ready,True,,setup+breakout,ENTRY_READY,7.8,,9.63765721752818,58.4,519223.0,57.5,1.57013862155015,57.2125,54.8573,2.3552,61.9229,64.2781,,
2,GRLA,Groenlandsbanken AS,entry_ready,True,,setup+breakout,ENTRY_READY,6.8,,4.49779658029261,1080.0,6379.0,1035.0,33.2578414639952,1029.825,979.9382,49.8868,1129.5985,1179.4853,,
3,SKJE,Skjern Bank A/S,entry_ready,True,,setup+breakout,ENTRY_READY,5.85,,3.54658360289126,327.5,26643.0,315.0,8.61941570777863,313.425,300.4959,12.9291,339.2832,352.2124,,
4,ATT,Attendo AB (publ),entry_ready,True,,setup+breakout,ENTRY_READY,5.59,,3.28830720792955,117.1,1186877.0,116.4,3.13333783389885,115.818,111.118,4.7,125.218,129.918,,
5,2GB,2G Energy AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.84,,4.1367607725028,69.1,235010.0,58.6,3.84904127540689,58.307,52.5334,5.7736,69.8541,75.6277,,
6,EKI,Ekinops SA,entry_ready,True,,setup+breakout,ENTRY_READY,4.48,,2.77911317422203,3.675,665263.0,3.43,0.218534301116324,3.4129,3.085,0.3278,4.0685,4.3963,,
7,XFAB,X Fab Silicon Foundries EV,entry_ready,True,,setup+breakout,ENTRY_READY,4.4,,2.7035889536059,8.985,1295924.0,8.085,0.44577946530803,8.0446,7.3759,0.6687,9.3819,10.0506,,
8,ADDT-B,Addtech AB (publ.),candidate,False,2.0,setup,CANDIDATE,4.94,1.83967915914005,1.83967915914005,346.8,740755.0,350.0,8.87494357247687,,,,,,,
9,ZAP,Zaptec AS,candidate,False,3.0,setup,CANDIDATE,4.66,1.75613849177598,1.75613849177598,50.4,1061534.0,48.65,2.0714938151172,,,,,,,
10,SPG,SP Group A/S,candidate,False,4.0,setup,CANDIDATE,4.48,2.18351845418611,2.18351845418611,421.5,34884.0,408.0,13.2671517029302,,,,,,,
11,KAMBI,Kambi Group PLC,candidate,False,5.0,setup,CANDIDATE,4.26,1.86305309353627,1.86305309353627,171.4,248897.0,169.6,7.33415729477146,,,,,,,
12,NDA-DK,Nordea Bank Abp,candidate,False,6.0,setup,CANDIDATE,4.05,1.55467109919061,1.55467109919061,123.7,522839.0,122.8,2.20400575938279,,,,,,,
13,SESG,SES S. A.,candidate,False,7.0,setup,CANDIDATE,3.96,1.65647549804778,1.65647549804778,9.3,1636415.0,8.95,0.400354012217368,,,,,,,
14,ACX,Acerinox,candidate,False,8.0,setup,CANDIDATE,3.78,1.98434530444129,1.98434530444129,15.91,1663422.0,15.62,0.449962574517871,,,,,,,
15,AFG,AF Gruppen ASA,candidate,False,9.0,setup,CANDIDATE,3.48,1.67613383843728,1.67613383843728,188.2,79199.0,185.4,3.76935285825468,,,,,,,
16,AQ,AQ Group AB,candidate,False,10.0,setup,CANDIDATE,3.46,1.75780515447675,1.75780515447675,242.0,138347.0,243.0,7.07091887457694,,,,,,,
17,INTEA-B,Intea Fastigheter B,candidate,False,11.0,setup,CANDIDATE,3.35,1.64590540380469,1.64590540380469,78.3,325838.0,77.9,2.00854533215253,,,,,,,
