display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,HLIT,Harmonic Inc,entry_ready,True,,setup+breakout,ENTRY_READY,8.21,,5.31035599791228,16.9,18574966.0,15.39,0.883500468140245,15.39,14.0647,1.3253,18.0405,19.3658,,
2,DKS,Dick’s Sporting Goods Inc,candidate,False,1.0,setup,CANDIDATE,5.97,2.87126332326087,2.87126332326087,233.13,2818300.0,231.97,8.1823219855511,,,,,,,
3,POWI,Power Integrations Inc,candidate,False,2.0,setup,CANDIDATE,5.64,2.74059646207406,2.74059646207406,84.09,3585020.0,81.59,4.82538365255578,,,,,,,
4,EC,Ecopetrol SA ADR,candidate,False,3.0,setup,CANDIDATE,5.59,2.08659023683287,2.08659023683287,14.86,6169155.0,14.38,0.59437780012578,,,,,,,
5,MRVL,Marvell Technology Group Ltd,candidate,False,4.0,setup,CANDIDATE,5.5,1.79586899141699,1.79586899141699,208.26,42263800.0,198.4,11.7197785845719,,,,,,,
6,RAMP,Liveramp Holdings Inc,candidate,False,5.0,setup,CANDIDATE,5.45,2.34541095245105,2.34541095245105,37.66,4585535.0,37.9,1.12092412899779,,,,,,,
7,VSH,Vishay Intertechnology Inc,candidate,False,6.0,setup,CANDIDATE,5.42,1.72399628615139,1.72399628615139,50.37,9655794.0,47.94,2.42358365681014,,,,,,,
8,AMBA,Ambarella Inc,candidate,False,7.0,setup,CANDIDATE,5.02,2.11745560340961,2.11745560340961,93.57,1955500.0,89.4,4.38324328288427,,,,,,,
9,ATKR,Atkore International Group Inc,candidate,False,8.0,setup,CANDIDATE,4.78,2.48278394246242,2.48278394246242,85.41,1261794.0,84.83,3.45209887870478,,,,,,,
10,GFS,Globalfoundries Inc,candidate,False,9.0,setup,CANDIDATE,4.47,1.97076290818348,1.97076290818348,89.96,10847399.0,89.9,4.91385939324614,,,,,,,
11,BNS,Bank of Nova Scotia,candidate,False,10.0,setup,CANDIDATE,4.35,1.84505460250679,1.84505460250679,80.4,2622400.0,80.02,1.13654886916195,,,,,,,
