display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,EPEN,Ependion AB,entry_ready,True,,setup+breakout,ENTRY_READY,6.73,,5.62799702799622,143.0,209440.0,143.2,4.60329202061971,142.484,135.5791,6.9049,156.2939,163.1988,,
2,SYIFJERADKKA,Sydinvest Fjernøsten Akkumulerende KL,entry_ready,True,,setup+breakout,ENTRY_READY,6.5,,8.141305505271,518.9,15291.0,518.0,8.13613663762276,515.41,503.2058,12.2042,539.8184,552.0226,,
3,ALESE,Entech SE SAS,entry_ready,True,,setup+breakout,ENTRY_READY,6.07,,3.76749742959385,11.18,65591.0,10.7,0.329988363823604,10.6465,10.1515,0.495,11.6365,12.1314,,
4,0DQ7,Beiersdorf AG O.N.,entry_ready,True,,setup+breakout,ENTRY_READY,5.59,,4.49073157796639,73.52,116854.0,73.42,2.26012862335368,73.0529,69.6627,3.3902,79.8333,83.2235,,
5,SFQ,SAF Holland SA,entry_ready,True,,setup+breakout,ENTRY_READY,5.0,,2.70006051645818,21.0,176237.0,20.05,0.714939804211946,19.9498,18.8773,1.0724,22.0946,23.167,,
6,MPCC,MPC Container Ships ASA,candidate,False,2.0,setup+breakout,ENTRY_READY,5.29,2.98769178808948,2.98769178808948,24.33,4936998.0,24.36,0.837113437679824,,,,,,,
7,OEM-B,OEM International AB (publ),candidate,False,3.0,setup,CANDIDATE,4.84,3.73904798990934,3.73904798990934,156.6,309183.0,158.6,4.34660395001685,,,,,,,
8,CON,Continental Aktiengesellschaft,candidate,False,4.0,setup,CANDIDATE,4.4,1.40150681402616,1.40150681402616,71.78,616674.0,70.84,2.1661281484733,,,,,,,
9,ELK,Elkem ASA,candidate,False,5.0,setup,CANDIDATE,4.26,2.56334208669363,2.56334208669363,31.7,2935535.0,32.28,1.15626126904005,,,,,,,
10,INTEA-B,Intea Fastigheter B,candidate,False,6.0,setup,CANDIDATE,4.03,1.63257519644889,1.63257519644889,80.0,342743.0,78.7,2.05079209414163,,,,,,,
11,COTN,Comet Holding AG,candidate,False,7.0,setup,CANDIDATE,3.98,2.17549695097806,2.17549695097806,367.8,68675.0,359.2,13.9784623002492,,,,,,,
12,SESG,SES S. A.,candidate,False,8.0,setup,CANDIDATE,3.45,1.65353793723385,1.65353793723385,9.42,1674217.0,9.315,0.393543011344699,,,,,,,
13,MTE,Micron Technology Inc,candidate,False,9.0,setup,CANDIDATE,3.43,2.23347318117482,2.23347318117482,777.4,66039.0,766.0,45.8678163854037,,,,,,,
14,FR,Valeo SA,candidate,False,10.0,setup,CANDIDATE,3.4,1.60107710319627,1.60107710319627,13.565,1527195.0,13.26,0.544232224755898,,,,,,,
15,PUM,PUMA SE,candidate,False,11.0,setup,CANDIDATE,3.12,1.42079219950681,1.42079219950681,29.86,1175205.0,29.58,1.25159715318794,,,,,,,
