display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,FQVLF,First Quantum Minerals Ltd,entry_ready,True,,setup+breakout,ENTRY_READY,6.12,,5.01915020118081,28.73,689700.0,28.55,1.10647046714522,28.55,26.8903,1.6597,31.8694,33.5291,,
2,BUDFF,Anheuser-Busch InBev SA/NV,entry_ready,True,,setup+breakout,ENTRY_READY,4.18,,3.68217877770623,83.81,225300.0,83.57,1.31224697859733,83.57,81.6016,1.9684,87.5067,89.4751,,
3,YPF,YPF Sociedad Anonima,candidate,False,1.0,setup,CANDIDATE,6.31,2.01360973122761,2.01360973122761,51.59,4384977.0,49.0,1.90107181845825,,,,,,,
4,MGM,MGM Resorts International,candidate,False,2.0,setup,CANDIDATE,5.72,1.91765824505636,1.91765824505636,41.95,10052365.0,40.795,1.51890087957669,,,,,,,
5,SNX,Synnex Corporation,candidate,False,3.0,setup,CANDIDATE,5.6,1.80173449416321,1.80173449416321,246.76,1110296.0,243.88,6.74536392230671,,,,,,,
6,BNS,Bank of Nova Scotia,candidate,False,4.0,setup,CANDIDATE,5.56,3.05637209985733,3.05637209985733,80.68,4875800.0,80.66,1.22108109279324,,,,,,,
7,PENN,Penn National Gaming Inc,candidate,False,5.0,setup,CANDIDATE,5.51,2.01011637516971,2.01011637516971,19.09,6643073.0,18.25,0.783325887868943,,,,,,,
8,IHG,InterContinental Hotels Group PLC ADR,candidate,False,6.0,setup,CANDIDATE,5.29,2.28919030762391,2.28919030762391,159.17,446696.0,155.46,3.17750482918506,,,,,,,
9,POWI,Power Integrations Inc,candidate,False,7.0,setup,CANDIDATE,5.27,2.07196358350316,2.07196358350316,86.9,2854100.0,84.9,5.02428482023037,,,,,,,
10,NTAP,NetApp Inc,candidate,False,8.0,setup,CANDIDATE,5.26,2.16252733148409,2.16252733148409,142.74,6025700.0,142.42,4.86222663500195,,,,,,,
11,BWA,BorgWarner Inc,candidate,False,9.0,setup,CANDIDATE,4.93,1.82857997308149,1.82857997308149,70.83,6080228.0,70.305,2.58474978171065,,,,,,,
12,ADTN,ADTRAN Inc,candidate,False,10.0,setup,CANDIDATE,4.75,2.45471124719684,2.45471124719684,19.4,6740391.0,18.69,1.12037247476434,,,,,,,
