display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,INDU-A,Industrivarden AB ser. A,entry_ready,True,,setup+breakout,ENTRY_READY,9.8,,8.04370411763638,525.0,1594896.0,517.5,10.9648378684904,514.9125,498.4652,16.4473,547.807,564.2543,,
2,BRAV,Bravida Holding AB,entry_ready,True,,setup+breakout,ENTRY_READY,9.1,,6.71343431882117,113.7,5320153.0,114.2,2.49940272586686,113.629,109.8799,3.7491,121.1272,124.8763,,
3,SSAB-A,SSAB AB (publ),entry_ready,True,,setup+breakout,ENTRY_READY,7.82,,4.72394741262949,95.28,4798689.0,95.08,2.64702859945504,94.6046,90.6341,3.9705,102.5457,106.5162,,
4,EMSN,EMS-CHEMIE HOLDING AG,entry_ready,True,,setup+breakout,ENTRY_READY,7.8,,6.62121921129876,713.5,124516.0,706.0,12.0021942201153,702.47,684.4667,18.0033,738.4766,756.4799,,
5,GRNG,Gränges AB (publ),entry_ready,True,,setup+breakout,ENTRY_READY,7.57,,5.86817939097434,190.4,790687.0,190.6,4.93004216800816,189.647,182.2519,7.3951,204.4371,211.8322,,
6,GRLA,Groenlandsbanken AS,entry_ready,True,,setup+breakout,ENTRY_READY,7.54,,5.73630664885418,1120.0,11164.0,1100.0,36.0340662158883,1094.5,1040.4489,54.0511,1202.6022,1256.6533,,
7,LOGN,Logitech International S.A.,entry_ready,True,,setup+breakout,ENTRY_READY,7.29,,2.98718124466503,94.9,2536461.0,88.88,3.15327415455641,88.4356,83.7057,4.7299,97.8954,102.6253,,
8,BAMNB,Koninklijke BAM Groep NV,entry_ready,True,,setup+breakout,ENTRY_READY,7.13,,4.8324757189441,11.14,5632112.0,10.13,0.455056459120158,10.0794,9.3968,0.6826,11.4445,12.1271,,
9,12DA,DELL TECHS INC. C  DL-01,entry_ready,True,,setup+breakout,ENTRY_READY,6.0,,5.79618991019546,350.0,35111.0,277.25,18.380095098999,275.8637,248.2936,27.5701,331.004,358.5742,,
10,OVH,OVH Groupe SAS,entry_ready,True,,setup+breakout,ENTRY_READY,6.0,,3.70000703248368,14.22,578744.0,12.93,0.62073056621985,12.8653,11.9343,0.9311,14.7275,15.6586,,
11,HIAG,HIAG Immobilien Holding AG,entry_ready,True,,setup+breakout,ENTRY_READY,5.94,,4.13882618510158,141.0,33003.0,139.0,3.05054152259374,138.305,133.7292,4.5758,147.4566,152.0324,,
12,KREATE,Kreate Group Oyj,entry_ready,True,,setup+breakout,ENTRY_READY,5.93,,4.13243019608598,20.3,42950.0,19.8,0.70894047320791,19.701,18.6376,1.0634,21.8278,22.8912,,
13,HOLN,Holcim AG,entry_ready,True,,setup+breakout,ENTRY_READY,5.76,,2.65796964935855,77.42,3365838.0,76.94,1.85239525783939,76.5553,73.7767,2.7786,82.1125,84.8911,,
14,ACAST,Acast AB,entry_ready,True,,setup+breakout,ENTRY_READY,5.72,,3.41990056417663,39.55,1664073.0,37.75,1.54499228744799,37.5613,35.2438,2.3175,42.1962,44.5137,,
15,RBI,Raiffeisen Bank International AG,entry_ready,True,,setup+breakout,ENTRY_READY,5.47,,3.06993802368536,49.42,1143345.0,48.56,1.49613874366652,48.3172,46.073,2.2442,52.8056,55.0498,,
16,NP3,NP3 Fastigheter AB,entry_ready,True,,setup+breakout,ENTRY_READY,5.26,,3.45629489090663,293.0,133896.0,288.5,7.49003903318433,287.0575,275.8224,11.2351,309.5276,320.7627,,
17,DANSKE,Danske Bank A/S,entry_ready,True,,setup+breakout,ENTRY_READY,5.16,,2.65550125338852,337.4,3338316.0,336.3,5.54772303659622,334.6185,326.2969,8.3216,351.2617,359.5833,,
18,WAF,Siltronic AG,entry_ready,True,,setup+breakout,ENTRY_READY,4.97,,3.26679857904907,104.7,522292.0,99.55,5.56191759183911,99.0523,90.7094,8.3429,115.738,124.0809,,
