display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,HPE-P-C,HPE-P-C,entry_ready,True,,setup+breakout,ENTRY_READY,8.9,,9.90867225142074,110.67,2977938.0,99.98,4.07215190514601,99.98,93.8718,6.1082,112.1965,118.3047,,
2,HPE-PC,Hewlett Packard Enterprise Co,entry_ready,True,,setup+breakout,ENTRY_READY,8.9,,8.79248901007796,110.67,2977937.0,99.34,3.93164985558462,99.34,93.4425,5.8975,111.1349,117.0324,,
3,HPE,Hewlett Packard Enterprise Co,entry_ready,True,,setup+breakout,ENTRY_READY,8.66,,4.35613683218764,43.04,85797800.0,38.58,1.78609986169072,38.58,35.9009,2.6791,43.9383,46.6174,,
4,RPRX,Royalty Pharma Plc,entry_ready,True,,setup+breakout,ENTRY_READY,8.22,,4.42349903744417,55.76,17987900.0,54.74,1.11997937575335,54.74,53.06,1.68,58.0999,59.7799,,
5,DELL,Dell Technologies Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.54,,4.33882325296104,420.91,41832954.0,327.73,22.2836357242451,327.73,294.3045,33.4255,394.5809,428.0064,,
6,NTAP,NetApp Inc,entry_ready,True,,setup+breakout,ENTRY_READY,6.49,,4.29013933753717,174.29,15908200.0,143.65,8.20248112915985,143.65,131.3463,12.3037,168.2574,180.5612,,
7,SNX,Synnex Corporation,candidate,False,2.0,setup,CANDIDATE,6.89,2.59395544493792,2.59395544493792,261.28,1743202.0,250.9599,7.62554338198895,,,,,,,
8,ALKS,Alkermes Plc,candidate,False,3.0,setup,CANDIDATE,6.25,1.95246212853655,1.95246212853655,42.19,4269400.0,40.78,1.4253260313272,,,,,,,
9,F,Ford Motor Company,candidate,False,4.0,setup,CANDIDATE,6.18,1.87853142974101,1.87853142974101,17.44,154138500.0,16.75,0.698731560388632,,,,,,,
10,SN,"SharkNinja, Inc.",candidate,False,5.0,setup,CANDIDATE,5.99,2.88784216040789,2.88784216040789,121.89,7926300.0,121.71,5.14175279736673,,,,,,,
11,MRCY,Mercury Systems Inc,candidate,False,6.0,setup,CANDIDATE,5.97,2.46722039599617,2.46722039599617,111.7,1521600.0,108.3975,4.70228339923707,,,,,,,
12,ATI,Allegheny Technologies Incorporated,candidate,False,7.0,setup,CANDIDATE,5.67,1.86657233611515,1.86657233611515,175.16,3088800.0,171.24,6.75545141558702,,,,,,,
13,RVMD,Revolution Medicines Inc,candidate,False,8.0,setup,CANDIDATE,5.58,2.47521147654017,2.47521147654017,157.48,6660400.0,156.245,6.01480753021285,,,,,,,
14,AVGO,Broadcom Inc,candidate,False,9.0,setup,CANDIDATE,5.29,2.18721738140097,2.18721738140097,446.77,41718900.0,442.36,15.7755251770524,,,,,,,
15,IVZ,Invesco Plc,candidate,False,10.0,setup,CANDIDATE,5.12,2.01789027447876,2.01789027447876,28.46,7973000.0,28.6,0.800065167696271,,,,,,,
16,GE,GE Aerospace,candidate,False,11.0,setup,CANDIDATE,5.05,1.95319742994348,1.95319742994348,323.76,9345400.0,322.32,9.46317747913817,,,,,,,
