display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,MGM,MGM Resorts International,entry_ready,True,,setup+breakout,ENTRY_READY,8.76,,4.46104597592867,50.69,27683193.0,44.28,2.00971036167273,44.28,41.2654,3.0146,50.3091,53.3237,,
2,HPE,Hewlett Packard Enterprise Co,candidate,False,1.0,setup+breakout,ENTRY_READY,8.77,4.4731783308368,4.4731783308368,47.0,109709800.0,44.575,2.0109957899373,,,,,,,
3,RVMD,Revolution Medicines Inc,candidate,False,2.0,setup,CANDIDATE,6.75,2.44897224918209,2.44897224918209,163.68,6554823.0,158.13,6.46874984948337,,,,,,,
4,PK,Park Hotels & Resorts Inc,candidate,False,3.0,setup,CANDIDATE,5.66,2.16407384796258,2.16407384796258,12.9,9262433.0,12.43,0.387346030631686,,,,,,,
5,EW,Edwards Lifesciences Corp,candidate,False,4.0,setup,CANDIDATE,4.83,1.7254160837936,1.7254160837936,88.16,7649259.0,88.28,2.41131075117547,,,,,,,
6,IAC,IAC Inc.,candidate,False,5.0,setup,CANDIDATE,4.81,1.71057874932132,1.71057874932132,45.38,2448928.0,45.51,1.429831587235,,,,,,,
7,EWTX,Edgewise Therapeutics Inc,candidate,False,6.0,setup,CANDIDATE,4.8,3.09704989752178,3.09704989752178,40.26,4398141.0,39.96,1.96654174550546,,,,,,,
8,TAC,TransAlta Corp,candidate,False,7.0,setup,CANDIDATE,4.55,2.84734015691171,2.84734015691171,14.16,3651600.0,14.25,0.440074606139457,,,,,,,
9,LC,LendingClub Corp,candidate,False,8.0,setup,CANDIDATE,4.38,1.97889656058555,1.97889656058555,18.39,2796841.0,18.055,0.716003787261493,,,,,,,
10,TBBB,BBB Foods Inc.,candidate,False,9.0,setup,CANDIDATE,3.42,2.31697946813508,2.31697946813508,39.56,1988861.0,39.36,2.0695239349161,,,,,,,
11,RDVT,Red Violet Inc,candidate,False,10.0,setup,CANDIDATE,2.75,2.25408659652665,2.25408659652665,59.3,416195.0,59.02,2.8631396929849,,,,,,,
