display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,BHPLF,BHP Group Limited,entry_ready,True,,setup+breakout,ENTRY_READY,8.3,,12.3210473536233,47.02,2002700.0,45.52,1.05920188131401,45.52,43.9312,1.5888,48.6976,50.2864,,
2,AVGO,Broadcom Inc,candidate,False,2.0,setup,CANDIDATE,6.08,1.78472047604341,1.78472047604341,481.57,37626800.0,466.05,17.2448733851698,,,,,,,
3,AVT,Avnet Inc,candidate,False,3.0,setup,CANDIDATE,6.02,1.72005791776103,1.72005791776103,92.93,2169400.0,90.2,3.03988411643383,,,,,,,
4,SNX,Synnex Corporation,candidate,False,4.0,setup,CANDIDATE,5.96,2.15528042063178,2.15528042063178,279.33,1623153.0,273.24,8.66248383447006,,,,,,,
5,COHU,Cohu Inc,candidate,False,5.0,setup,CANDIDATE,5.93,3.02574932125573,3.02574932125573,57.59,4651892.0,55.2,2.92789005988095,,,,,,,
6,FRHC,Freedom Holding Corp,candidate,False,6.0,setup,CANDIDATE,5.72,3.4237763474947,3.4237763474947,157.84,379307.0,152.74,6.00558016489217,,,,,,,
7,HCC,Warrior Met Coal Inc,candidate,False,7.0,setup,CANDIDATE,4.9,2.00384027869317,2.00384027869317,110.28,1793046.0,106.8099,5.48314052329901,,,,,,,
8,FTK,Flotek Industries Inc,candidate,False,8.0,setup,CANDIDATE,4.78,3.08314099292831,3.08314099292831,23.33,972396.0,22.24,1.32885369974571,,,,,,,
9,TX,Ternium SA ADR,candidate,False,9.0,setup,CANDIDATE,4.78,2.381155797143,2.381155797143,51.24,1245835.0,50.59,1.7148578073011,,,,,,,
10,BFH,"Bread Financial Holdings, Inc.",candidate,False,10.0,setup,CANDIDATE,4.74,1.73948370852148,1.73948370852148,91.55,903000.0,90.5,2.98547593044104,,,,,,,
11,ATEN,A10 Network,candidate,False,11.0,setup,CANDIDATE,4.29,1.89023138022715,1.89023138022715,32.64,1703253.0,31.75,1.15243146953517,,,,,,,
