display_rank,symbol,company_name,selection_bucket,entry_ready,candidate_rank,selection_reason,metric_state,metric_invest_score,metric_state_score,metric_vol_anom,metric_close,metric_volume,metric_hh20_prev,metric_atr14,metric_entry_limit,metric_stop_init,metric_r_dist,metric_tp_2r,metric_tp_3r,metric_risk_eur,metric_qty_for_risk
1,IVT,Inventrust Properties Corp,entry_ready,True,,setup+breakout,ENTRY_READY,7.25,,4.84948949598625,34.28,2707832.0,33.79,0.681782845266531,33.79,32.7673,1.0227,35.8353,36.858,,
2,VOYA,Voya Financial Inc,candidate,False,2.0,setup,CANDIDATE,5.53,1.73359421704935,1.73359421704935,88.48,1771225.0,87.17,2.24871435681048,,,,,,,
3,BY,Byline Bancorp Inc,candidate,False,3.0,setup,CANDIDATE,5.31,4.21011019590479,4.21011019590479,33.91,731658.0,33.94,0.667052387656347,,,,,,,
4,GEO,Geo Group Inc,candidate,False,4.0,setup,CANDIDATE,5.25,1.75461750214451,1.75461750214451,26.68,2738893.0,25.7,0.924928210637125,,,,,,,
5,EXPD,"Expeditors International of Washington, Inc.",candidate,False,5.0,setup,CANDIDATE,5.1,2.00194458067043,2.00194458067043,163.44,1887793.0,163.1,3.61520855531106,,,,,,,
6,AMG,Affiliated Managers Group Inc,candidate,False,6.0,setup,CANDIDATE,5.1,1.99819554538304,1.99819554538304,336.62,613039.0,338.07,10.4780969890331,,,,,,,
7,CUZ,Cousins Properties Incorporated,candidate,False,7.0,setup,CANDIDATE,5.06,2.05857609760597,2.05857609760597,28.32,2836308.0,27.8,0.613315931961637,,,,,,,
8,TFII,TFI International Inc,candidate,False,8.0,setup,CANDIDATE,4.95,1.84504674671275,1.84504674671275,163.36,588039.0,161.75,4.04640336294917,,,,,,,
9,CXW,CoreCivic Inc,candidate,False,9.0,setup,CANDIDATE,4.86,1.96114158905314,1.96114158905314,24.72,1735651.0,23.43,0.885327201826625,,,,,,,
10,TD,Toronto Dominion Bank,candidate,False,10.0,setup,CANDIDATE,4.84,2.34482055421739,2.34482055421739,114.17,3874925.0,114.55,1.83053334843327,,,,,,,
11,FBP,First Bancorp,candidate,False,11.0,setup,CANDIDATE,4.73,2.4309491070145,2.4309491070145,24.49,2979608.0,24.62,0.461246012746527,,,,,,,
