symbol,provider,ok,from,to,n_raw,n_articles,n_days_total,error,skipped,message
FQVLF,google_news_rss,True,2026-04-28,2026-05-28,14,14,9,,False,articles_appended=14
BUDFF,google_news_rss,True,2026-04-28,2026-05-28,15,15,10,,False,articles_appended=15
YPF,google_news_rss,True,2026-04-28,2026-05-28,16,16,9,,False,articles_appended=16
MGM,google_news_rss,True,2026-04-28,2026-05-28,17,17,2,,False,articles_appended=17
SNX,google_news_rss,True,2026-04-28,2026-05-28,22,22,10,,False,articles_appended=22
BNS,google_news_rss,True,2026-05-23,2026-05-28,24,24,8,,False,articles_appended=24
PENN,google_news_rss,True,2026-04-28,2026-05-28,1,1,1,,False,articles_appended=1
IHG,google_news_rss,True,2026-04-28,2026-05-28,4,4,4,,False,articles_appended=4
POWI,google_news_rss,True,2026-05-23,2026-05-28,13,5,14,,False,articles_appended=5
NTAP,google_news_rss,True,2026-04-28,2026-05-28,26,26,5,,False,articles_appended=26
BWA,google_news_rss,True,2026-04-28,2026-05-28,24,24,11,,False,articles_appended=24
ADTN,google_news_rss,True,2026-04-28,2026-05-28,20,20,9,,False,articles_appended=20
